"","cowcode","country","Date","coup_id","year","month","day","event_type","realized","unrealized","military_coup","rebel_coup","palace_coup","popular_revolt","dissident_action","foreign_coup","i_m_trans","forced_resign","counter_coup","auto_coup","attempted","conspiracy","ambiguous","no_harm","exec_injured","exec_killed","house_arrest","jailed","tried","fled","expatriated"
"575","770","Pakistan","7/5/1977","77007051977","1977","7","5","coup",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"576","770","Pakistan","1/2/1984","77001021984","1984","1","2","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"577","770","Pakistan","10/12/1999","77010121999","1999","10","12","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"578","95","Panama","11/20/1949","9511201949","1949","11","20","coup",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"579","95","Panama","5/9/1951","9505091951","1951","5","9","coup",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"580","95","Panama","4/26/1959","9504261959","1959","4","26","attempted",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"581","95","Panama","10/11/1968","9510111968","1968","10","11","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"582","95","Panama","12/14/1969","9512141969","1969","12","14","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"583","95","Panama","12/16/1969","9512161969","1969","12","16","coup",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"584","95","Panama","3/3/1982","9503031982","1982","3","3","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"585","95","Panama","7/30/1982","9507301982","1982","7","30","coup",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"586","95","Panama","9/14/1983","9509141983","1983","9","14","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"587","95","Panama","3/16/1988","9503161988","1988","3","16","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"588","95","Panama","10/3/1989","9510031989","1989","10","3","attempted",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1
"589","95","Panama","12/21/1989","9512211989","1989","12","21","coup",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"590","95","Panama","10/16/1990","9510161990","1990","10","16","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"591","95","Panama","12/5/1990","9512051990","1990","12","5","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"592","95","Panama","10/8/1991","9510081991","1991","10","8","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"593","95","Panama","1/12/1995","9501121995","1995","1","12","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"594","910","Papua New Guinea","3/14/1990","91003141990","1990","3","14","attempted",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"595","150","Paraguay","3/7/1947","15003071947","1947","3","7","attempted",0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"596","150","Paraguay","4/30/1947","15004301947","1947","4","30","attempted",0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"597","150","Paraguay","4/11/1948","15004111948","1948","4","11","conspiracy",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"598","150","Paraguay","6/3/1948","15006031948","1948","6","3","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"599","150","Paraguay","10/25/1948","15010251948","1948","10","25","attempted",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"600","150","Paraguay","1/30/1949","15001301949","1949","1","30","coup",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"601","150","Paraguay","2/26/1949","15002261949","1949","2","26","coup",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"602","150","Paraguay","9/12/1949","15009121949","1949","9","12","coup",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"603","150","Paraguay","5/5/1954","15005051954","1954","5","5","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"604","150","Paraguay","12/21/1955","15012211955","1955","12","21","attempted",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"605","150","Paraguay","12/12/1959","15012121959","1959","12","12","attempted",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"606","150","Paraguay","2/3/1989","15002031989","1989","2","3","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"607","150","Paraguay","4/22/1996","15004221996","1996","4","22","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"608","150","Paraguay","5/18/2000","15005182000","2000","5","18","attempted",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"609","135","Peru","10/4/1948","13510041948","1948","10","4","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"610","135","Peru","10/29/1948","13510291948","1948","10","29","coup",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"611","135","Peru","8/10/1954","13508101954","1954","8","10","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"612","135","Peru","2/16/1956","13502161956","1956","2","16","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"613","135","Peru","7/18/1962","13507181962","1962","7","18","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"614","135","Peru","3/3/1963","13503031963","1963","3","3","coup",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"615","135","Peru","10/3/1968","13510031968","1968","10","3","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"616","135","Peru","8/29/1975","13508291975","1975","8","29","coup",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"617","135","Peru","7/9/1976","13507091976","1976","7","9","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"618","135","Peru","4/4/1992","13504041992","1992","4","4","coup",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"619","135","Peru","10/29/2000","13510292000","2000","10","29","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"620","840","Philippines","10/18/1950","84010181950","1950","10","18","conspiracy",0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"621","840","Philippines","2/25/1986","84002251986","1986","2","25","coup",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"622","840","Philippines","7/6/1986","84007061986","1986","7","6","attempted",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"623","840","Philippines","11/22/1986","84011221986","1986","11","22","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"624","840","Philippines","1/27/1987","84001271987","1987","1","27","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"625","840","Philippines","8/27/1987","84008271987","1987","8","27","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"626","840","Philippines","12/1/1989","84012011989","1989","12","1","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"627","840","Philippines","3/4/1990","84003041990","1990","3","4","attempted",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"628","840","Philippines","10/4/1990","84010041990","1990","10","4","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"629","840","Philippines","1/20/2001","84001202001","2001","1","20","coup",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"630","840","Philippines","4/29/2001","84004292001","2001","4","29","attempted",0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"631","840","Philippines","7/27/2003","84007272003","2003","7","27","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"632","290","Poland","9/6/1980","29009061980","1980","9","6","coup",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"633","290","Poland","10/12/1981","29010121981","1981","10","12","coup",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"634","235","Portugal","10/10/1950","23510101950","1950","10","10","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"635","235","Portugal","3/15/1959","23503151959","1959","3","15","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"636","235","Portugal","1/1/1962","23501011962","1962","1","1","attempted",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"637","235","Portugal","4/25/1974","23504251974","1974","4","25","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"638","235","Portugal","9/28/1974","23509281974","1974","9","28","attempted",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"639","235","Portugal","9/30/1974","23509301974","1974","9","30","coup",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"640","235","Portugal","3/11/1975","23503111975","1975","3","11","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"641","235","Portugal","7/31/1975","23507311975","1975","7","31","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"642","235","Portugal","11/25/1975","23511251975","1975","11","25","attempted",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"643","694","Qatar","2/22/1972","69402221972","1972","2","22","coup",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"644","694","Qatar","6/27/1995","69406271995","1995","6","27","coup",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"645","694","Qatar","2/20/1996","69402201996","1996","2","20","attempted",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"646","732","Republic of Korea","4/27/1960","73204271960","1960","4","27","coup",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"647","732","Republic of Korea","5/16/1961","73205161961","1961","5","16","coup",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"648","732","Republic of Korea","7/3/1961","73207031961","1961","7","3","coup",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"649","732","Republic of Korea","6/1/1962","73206011962","1962","6","1","conspiracy",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"650","732","Republic of Korea","12/12/1979","73212121979","1979","12","12","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"651","732","Republic of Korea","5/17/1980","73205171980","1980","5","17","coup",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"652","732","Republic of Korea","5/18/1980","73205181980","1980","5","18","attempted",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"653","732","Republic of Korea","8/21/1990","73208211990","1990","8","21","conspiracy",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"654","817","Republic of Vietnam","11/11/1960","81711111960","1960","11","11","attempted",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"655","817","Republic of Vietnam","11/1/1963","81711011963","1963","11","1","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"656","817","Republic of Vietnam","1/30/1964","81701301964","1964","1","30","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"657","817","Republic of Vietnam","9/13/1964","81709131964","1964","9","13","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"658","817","Republic of Vietnam","1/27/1965","81701271965","1965","1","27","coup",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"659","817","Republic of Vietnam","2/19/1965","81702191965","1965","2","19","coup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"660","817","Republic of Vietnam","6/11/1965","81706111965","1965","6","11","coup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"661","817","Republic of Vietnam","4/21/1975","81704211975","1975","4","21","coup",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"662","817","Republic of Vietnam","4/30/1975","81704301975","1975","4","30","coup",1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
